query,rank,sentence,label,label_text,score
I dropped my credit card in the river.,1,Help! I lost my card!,41,lost_or_stolen_card,0.6
I dropped my credit card in the river.,2,"i need help, i lost my card",41,lost_or_stolen_card,0.6
I dropped my credit card in the river.,3,My card has gone missing.,41,lost_or_stolen_card,0.6
I dropped my credit card in the river.,4,My card has been lost / stolen,41,lost_or_stolen_card,0.6
I dropped my credit card in the river.,5,"help, lost my card",41,lost_or_stolen_card,0.6
I dropped my credit card in the river.,6,My card is missing.,41,lost_or_stolen_card,0.6
I dropped my credit card in the river.,7,I lost my card,41,lost_or_stolen_card,0.6
I dropped my credit card in the river.,8,"I can't find my card, it is lost.",41,lost_or_stolen_card,0.2
I dropped my credit card in the river.,9,How do I replace a stolen card?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,10,I can't find my card! Can you help?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,11,My card is missing.  Please help.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,12,I think that my card has been stolen!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,13,My card was stolen,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,14,"My card has been stolen. I reported it with the police, but I need to report it with you as well.",41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,15,My card has been stolen what do I do?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,16,My card is lost!  Please help me!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,17,I believe that my card has been stolen!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,18,What should I do if I think my card was stolen?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,19,I think my card is stolen!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,20,"Help!  I fear that my card was stolen,",41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,21,Someone stole my card!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,22,How can I report that my card was stolen? I made a police report first.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,23,My card is missing!  Help!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,24,What can I do if I lost my card?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,25,I think that the card is stolen.  What are my next steps?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,26,What do I do if my card is stolen?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,27,My card is stolen.  Help!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,28,Report stolen card,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,29,Help!  My card is stolen.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,30,I have lost my card! What is my next step?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,31,My card has been lost! help!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,32,What do I do if my card has been lost or stolen?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,33,oh my god I lost my card! what should I do?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,34,I can't find my card!  What should I do?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,35,What is the first step that I should take after my card has been stolen?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,36,My card was stolen. What do I need to do?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,37,Please help me.  My card is missing.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,38,What are the steps I need to do if I have a stolen card?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,39,I cant find my card.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,40,I think my card is lost.  What do I do?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,41,What should I do if my card is stolen?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,42,Need help with a stolen card.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,43,How do I report my card as lost or stolen?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,44,I've lost my card. What can I do about that?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,45,I lost my card. Can you help me?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,46,What should I do?  My card has been stolen!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,47,My card was stolen last night.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,48,"My card info was stolen, what do I do?",22,compromised_card,0.1
I dropped my credit card in the river.,49,I can't find my card and think it may have been stolen.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,50,"Someone stole my card. I need to report it stolen. I made a police report already, but how do I report it with you?",41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,51,My card is lost! What can I do?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,52,"I believe my card has been stolen, what can I do about this situation? It's urgent.",41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,53,Help! Someone stole my card!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,54,Help.  I have a stolen card!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,55,How do I report my card stolen?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,56,How do I deal with a stolen card?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,57,Help!  I can't find my card.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,58,What should I do if I lost my card?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,59,I think my card was stolen.,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,60,Somehow I am missing my card.  What should I do?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,61,My card is lost! What do I do now?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,62,How do I report a stolen card?,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,63,"Somebody has stolen my card, I need help please.",41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,64,My card got stolen!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,65,Help me please!  My card was stolen!,41,lost_or_stolen_card,0.1
I dropped my credit card in the river.,66,"I topped up recently and saw the money go through, but now it's just gone? What's going on",61,top_up_reverted,0.1
I dropped my credit card in the river.,67,"My money is gone. I had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?",61,top_up_reverted,0.1
I dropped my credit card in the river.,68,"My money has disappeared. I had recently added money in, and saw it was there and went through. Now it's gone. What is happening?",61,top_up_reverted,0.1
I dropped my credit card in the river.,69,"Something is wrong, my top-up is gone and I don't know what happened to my money.",61,top_up_reverted,0.1
I dropped my credit card in the river.,70,My money is nowhere to be found? I talked up earlier and seen it. Now it has vanished. What is going on?,61,top_up_reverted,0.1
I dropped my credit card in the river.,71,"My money is gone. I had topped up recently and saw it was there and went through, but now it's disappeared, what is happening?",61,top_up_reverted,0.1
I dropped my credit card in the river.,72,"My money is gone :( I had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?",61,top_up_reverted,0.1
I dropped my credit card in the river.,73,"My money is gone. I had topped up recently and saw it was there, but now it's disappeared, what's going on?",61,top_up_reverted,0.1
I dropped my credit card in the river.,74,"My money's disappeared from my account! I topped up the other day and it was there, but now it's not. Help?",61,top_up_reverted,0.1
I dropped my credit card in the river.,75,I topped up and now my money is not there anymore! What happened to it?,61,top_up_reverted,0.1
I dropped my credit card in the river.,76,Why has my money disappeared? I topped up earlier and seen it was there and had went through. What seems to be the problem?,61,top_up_reverted,0.1
I dropped my credit card in the river.,77,"My money has gone missing. I had recently added money in, and saw it was there and went through. Now it's missing. What is happening?",61,top_up_reverted,0.1
I dropped my credit card in the river.,78,I put money in my account a week ago but its still not there?? What happened to my money?,6,balance_not_updated_after_cheque_or_cash_deposit,0.1
I dropped my credit card in the river.,79,"I tried topping up using my card, but the money is gone?",62,topping_up_by_card,0.1
I dropped my credit card in the river.,80,"I used my card to top up, but the money is not there!",62,topping_up_by_card,0.1
I dropped my credit card in the river.,81,I used my card top-up but all of the money is missing.,62,topping_up_by_card,0.1
I dropped my credit card in the river.,82,"I attempted to top up using my card, but now the money just disappeared?",62,topping_up_by_card,0.1
I dropped my credit card in the river.,83,"When I tried to top up using my card, all of the money disappeared.",62,topping_up_by_card,0.1
I dropped my credit card in the river.,84,"I used my card to top up, but now I don't see the money in my account.",62,topping_up_by_card,0.1
